gene_name,SM0909_LR-L,SM0909_LR-R,SM1913_L-L,SM1914_R-R,SM0907_L-R,SM0908_R-L,SM0908_R-R,SM2026_L-L,SM2027_LR-L
Clec2g,-2.070086631,-1.842595724,-0.778907263,-1.831697482,0.787087147,1.055453511,0.345391879,2.462274325,1.873080238
Plxna4,-1.390095547,-1.519203009,-0.892063518,-1.019618391,0.47845012,0.706835158,0.409688192,1.793699781,1.432307213
H2-Ab1,-1.071639541,-1.938786532,-1.26676441,-1.262926812,-0.188501275,0.924414231,0.669937334,1.766130434,2.36813657
Chaf1a,-0.342973156,-0.579383466,-0.919359731,-0.816880826,0.762043173,0.678715705,0.679826782,0.219873946,0.318137574
Pola1,-0.372514569,-0.777072972,-1.414331358,-0.517905447,0.606413226,0.553491919,0.596836202,0.788789817,0.536293183
Atad5,-0.842296788,-0.619644325,-0.893379045,-0.210318217,0.348698701,0.570824608,0.626038904,0.396014553,0.62406161
Haus5,-0.919254701,-0.330150123,-0.620732632,-0.518404709,0.401206244,0.512818607,0.541173758,0.276917116,0.65642644
Arhgef40,-1.249306427,-0.523794164,-1.342139763,-0.969136724,1.288486227,1.132918516,1.15504075,0.214298343,0.293633242
Mki67,-0.664093432,-1.026136421,-1.642033353,-0.274434028,0.690295142,0.768921867,0.666051571,0.805768394,0.675660261
Fnbp1l,-0.755346474,-0.642147934,-0.53342443,-0.463249859,0.14658171,0.379732476,0.3551827,0.773592572,0.739079239
Nes,-1.121741062,-1.17356127,-0.837941665,-0.640608847,1.318336831,0.832108284,1.140687951,0.113064911,0.369654868
Tdrkh,-0.710151499,-0.721554939,-0.488329493,-0.443229718,0.573617787,0.430190941,0.662199381,0.283469453,0.413788087
Foxm1,-0.645145333,-0.720844658,-1.413582209,-0.511624508,0.817011873,0.911174987,0.864616825,0.546381847,0.152011175
Ezh2,-0.395073434,-0.527557151,-1.04606219,-0.625038596,0.730403186,0.626940562,0.67348794,0.318756733,0.244142952
Mcm5,-0.622915355,-0.470581603,-1.195035864,-0.675773408,0.86745259,0.752251226,0.822805831,0.360900793,0.16089579
Pkmyt1,-0.803465322,-0.45748658,-1.498610431,-0.525092544,0.608019131,0.821474847,0.784920145,0.377815503,0.69242525
Mtr,-0.528747079,-0.658070063,-0.468243473,-0.321213394,0.338897608,0.197475778,0.300800979,0.686849285,0.452250358
Gbp5,-0.485264274,-0.503825842,-0.59320737,-0.91048214,0.079887506,0.406386369,0.502272083,0.806441918,0.69779175
Irgm2,-0.405989195,-0.373721431,-0.293425998,-0.511982174,0.197763242,0.234629842,0.243838801,0.524737104,0.384149809
Cnn3,-0.794634143,-0.544822547,-0.662342176,-0.706811902,0.230697178,0.559581391,0.164125306,0.806930909,0.947275982
Pold1,-0.42574045,-0.37037001,-0.639536017,-0.345679681,0.42998654,0.409153831,0.509936372,0.217696411,0.214553004
